Name of the diseases,Home remedie 1,Home remedie 2,Home remedie 3
Fever,Hydration,Rest,Sponge Bath
Hyperthermia ,Cool Water Compress,Rest in a cool environment ,Hydration
Rash ,Aloe vera gel,Oatmeal bath,Cold compress
Generalized fatigue,Adequate sleep,Regular exercise ,Stress reducation Techniques
Weight loss,Healthy diet ,Regular exercise ,Adequate exercise 
Chest pain,Deep breathimg exercises,Resting in a comfortable position ,Drinling warm water 
Palpitations,Deep breathimg exercises,Stay hydrated,Reduce caffein and alcohol intake
Dyspnea ,Steam inhalation ,Honey and ginger tea ,Breathing exercises 
Cyanosis ,Warm compress ,Stay hydrated,Avoid exposure to cold temperatures 
Cough ,Honay and warm water ,Ginger tea ,Steam inhalation 
Hemaptysis ,Steam inhalation ,Stay hydrated,Maintain a humid environment 
Edema ,Elevation of the affected limb ,Reduced sodium intake ,Massage therapy
Abdominal pain ,Ginger tea ,Heating pad ,Peppermint oil 
Nausea ,Ginger tea ,Pappermint,Lemon
Vomiting ,Ginger tea ,Peppermint tea ,Bland diet 
Indigestion ,Baking soda ,Chamomile tea ,Fennel seeds 
Dysphagia ,Honey and lemon,Aloe vera juice ,Difficulty swallowing 
Diarrhea ,Drink clear liquid ,"BRAT diet (bananas,rice ,toast)",Probiotics 
Malabsorption ,Ginger tea ,Turmeric ,Peppermint oil 
Constipation ,Increase fibre intake,Stay hydrated,Regular physical activity 
Gastrointestinal Bleeding ,Avoid spicy and acidic foods ,Probiotics ,Aloe vera juice 
Jaundice ,Increase water intake,Avoid Alcohol ,Eat food rich in vitamin C
Evalution of liver function , Healthy diet rich in fruits and vegtables ,Regular exercise ,Limit alcohol intake 
Asites ,Low-sodium diet ,Limit fluid intake ,Elevate legs 
Lymphadenopathy,Warm compress ,Rest and hydration ,Gargling with warm salit water 
Splenomegaly,Rest and avoiding strenuous activites ,Maintaining a healthy diet ,Warm compress
Aneamia ,Diet rich in iron ,Eating foods high in vitamin C,Avoiding tea and coffee with meals 
Polycythemia ,Maintaining hydration ,Avoiding smoking ,Regular physical activity 
Azotemia ,Limting protein intake ,Hydration ,Avoiding Nonsteroidal anti-inflammatory dugrs 
Urinary Abnormalities ,Drink clear liquid ,Cranberry juice ,Avoid caffeine and spicy foods 
Pain and swelling in joint,Rest and elevation ,Ice packs ,Turmeric supplements 
Back pain,Hot or cold packs ,Gentle exercise ,Maintain good posture 
Neck pain,Hot or cold packs ,Neck exercise ,Good neck posture 
Headache,"Rest in a quiet, dark room ",Hydration ,Cold compress
Syncope,Stay hydrated ,Avoid triggers ,Elevate legs 
Dizziness,Stay hydrated ,Practice deep breathing ,Ginger tea 
Vertigo,Epley maneuver ,Ginkgo biloba ,Hydration
Acute visual loss,Rest your eyes ,Maintain healthy blood pressure ,Cold compress 
Double vision,Eye exercises ,Rest your eyes ,Maintain proper lighting 
Weakness,A balaced diet ,Regular exercise ,Adequate  sleep 
paralysis ,Occupational therapy ,Speech therapy ,Assistive devices 
Tremor,Relaxation Techniques ,Avioding stimulants like caffeine ,Regular exercise 
Movement disorder ,Regular exercise ,Deep brain stimulation ,Physical therapy 
Aphasia ,Practice speech exercises ,Use communication boards ,Encourage conversation 
Sleep disorder ,Establish a regular sleep schedule ,Create a realaxing  bedtime routine ,Limit screen time before sleep 
Dysuria ,Imceased water intake ,Cranberry juice ,Warm compress
Bladder pain,Hot or cold compress ,Increased water intake ,Avoiding irritating foods 
Sore throat ,Honey and warm water gargle ,Ginger tea ,Salt water gargle 
Earache,Warm compress ,Olive oil drops ,Chewing gum 
